id,numero,titulo,director,anio_estreno,pais_origen,fecha_vista,anio_visto,es_revisionado,estado_enriquecimiento,fuente
P0001-1,1,Beau is afraid,Ari Aster,2023,USA,2024-01-02,2024,No,Migrada,CSV historico
P0002-1,2,The life of David Gale,Alan Parker,2003,USA,2024-01-05,2024,No,Migrada,CSV historico
P0003-2,3,Death proof,Quentin Tarantino,2007,USA,2024-01-07,2024,Si,Migrada,CSV historico
P0004-1,4,Manticora,Carlos Vermut,2022,España,2024-01-11,2024,No,Migrada,CSV historico
P0005-1,5,La sociedad de la nieve,Juan Antonio Bayona,2023,España,2024-01-12,2024,No,Migrada,CSV historico
P0006-1,6,Oppenheimer,Christopher Nolan,2023,USA,2024-01-13,2024,No,Migrada,CSV historico
P0007-1,7,El niño y la garza,Hayao Miyazaki,2023,Japon,2024-01-16,2024,No,Migrada,CSV historico
P0008-2,8,Mi vecino Totoro,Hayao Miyazaki,1988,Japon,2024-01-18,2024,Si,Migrada,CSV historico
P0009-1,9,Triangle of sadness,Ruben Östlund,2022,UK/USA,2024-01-19,2024,No,Migrada,CSV historico
P0010-1,10,Crimson peak,Guillermo del Toro,2015,USA,2024-01-22,2024,No,Migrada,CSV historico
P0011-1,11,Lift,F. Gary Gray,2024,USA,2024-01-23,2024,No,Migrada,CSV historico
P0012-1,12,The Truman show,Peter Weir,1998,USA,2024-01-24,2024,No,Migrada,CSV historico
P0013-3,13,Parasite,Bong Joon-ho,2019,Corea del Suer,2024-01-26,2024,Si,Migrada,CSV historico
P0014-1,14,Los delincuentes,Rodrigo Moreno,2023,Argentina,2024-01-28,2024,No,Migrada,CSV historico
P0015-1,15,The sadness,Rob Jabbaz,2021,Taiwan,2024-01-29,2024,No,Migrada,CSV historico
P0016-1,16,Poor things,Yorgos Lanthimos,2023,USA/UK/Ireland,2024-01-30,2024,Si,Migrada,CSV historico
P0017-2,17,The lobster,Yorgos Lanthimos,2015,Greece/UK/Ireland/France,2024-02-05,2024,Si,Migrada,CSV historico
P0018-1,18,Reality,Tina Satter,2023,USA,2024-02-06,2024,No,Migrada,CSV historico
P0019-1,19,Bad times at The El Royale,Drew Goddard,2018,USA,2024-02-07,2024,No,Migrada,CSV historico
P0020-1,20,Where The dévil roams,John AdamsZelda AdamsToby Poser,2023,USA,2024-02-08,2024,No,Migrada,CSV historico
P0021-1,21,How to blow Up a pipeline,Daniel Goldhaber,2023,USA,2024-02-09,2024,No,Migrada,CSV historico
P0022-1,22,The holdovers,Alexander Payne,2023,USA,2024-02-10,2024,No,Migrada,CSV historico
P0023-1,23,Máster gardener,Paul Schrader,2022,USA,2024-02-11,2024,No,Migrada,CSV historico
P0024-2,24,Mother!,Darren Aronofsky,2017,USA,2024-02-12,2024,Si,Migrada,CSV historico
P0025-1,25,Soft and quiet,Beth de Araujo,2022,USA,2024-02-13,2024,Si,Migrada,CSV historico
P0026-1,26,Perfume: The history of a murderer,Tom Tykwer,2006,USA,2024-02-14,2024,No,Migrada,CSV historico
P0027-1,27,No abras nunca esa puerta,Carlos Hugo Christensen,1952,Argentina,2024-02-20,2024,No,Migrada,CSV historico
P0028-2,28,Druk,Thomas Vinterberg,2020,Denmark,2024-02-24,2024,Si,Migrada,CSV historico
P0029-1,29,The card counter,Paul Schrader,2021,USA,2024-02-28,2024,No,Migrada,CSV historico
P0030-1,30,Greenland,Ric Roman Waugh,2020,USA,2024-03-09,2024,No,Migrada,CSV historico
P0031-1,31,Anatomy of a fall,Justine Triet,2023,France,2024-03-14,2024,No,Migrada,CSV historico
P0032-2,32,La H,Nicanor Loreti,2011,Argentina,2024-03-17,2024,Si,Migrada,CSV historico
P0033-1,33,The Sorcerer,William Friedkin,1977,USA,2024-03-19,2024,No,Migrada,CSV historico
P0034-1,34,The Big night of pop,Bao Nguyen,2024,USA,2024-03-31,2024,No,Migrada,CSV historico
P0035-1,35,Exterminators 4,Carlos Galettini,1992,Argentina,2024-04-05,2024,No,Migrada,CSV historico
P0036-1,36,Sick of myself,Kristoffer Borgli,2022,Noruega,2024-04-13,2024,No,Migrada,CSV historico
P0037-2,37,X,Ti West,2022,USA,2024-04-14,2024,Si,Migrada,CSV historico
P0038-1,38,Death Wish,Michael Winner,1974,USA,2024-04-17,2024,No,Migrada,CSV historico
P0039-2,39,Pearl,Ti West,2022,USA,2024-04-27,2024,Si,Migrada,CSV historico
P0040-3,40,Kill Bill,Quentin Tarantino,2003,USA,2024-04-28,2024,Si,Migrada,CSV historico
P0041-1,41,Kill Bill 2,Quentin Tarantino,2004,USA,2024-05-01,2024,No,Migrada,CSV historico
P0042-3,42,Once upon a time in Hollywood,Quentin Tarantino,2019,USA,2024-05-03,2024,Si,Migrada,CSV historico
P0043-1,43,Me case con un boludo,Juan Taratuto,2017,Argentina,2024-05-11,2024,No,Migrada,CSV historico
P0044-1,44,The connection,Shirley Clarke,1961,USA,2024-05-13,2024,No,Migrada,CSV historico
P0045-1,45,Nekromantic,Jörg Buttgereit,1987,Alemania,2024-05-16,2024,No,Migrada,CSV historico
P0046-1,46,Dos mas dos,Diego Kaplan,2012,Argentina,2024-05-17,2024,No,Migrada,CSV historico
P0047-1,47,I love u man,John Hamburg,2009,USA,2024-05-18,2024,No,Migrada,CSV historico
P0048-2,48,Forgetting Sarah Marshall,Nicholas Stoller,2008,USA,2024-05-24,2024,Si,Migrada,CSV historico
P0049-1,49,Idiocracy,Mike Judge,2006,USA,2024-05-25,2024,No,Migrada,CSV historico
P0050-1,50,La princesa Mononoque,Hayao Miyazaki,1997,Japon,2024-05-26,2024,No,Migrada,CSV historico
P0051-1,51,Fuck You,Jose Luis Garcia,2024,Argentina,2024-06-01,2024,No,Migrada,CSV historico
P0052-1,52,No sabes con quién estás hablando,Demián Rugna,2016,Argentina,2024-06-05,2024,No,Migrada,CSV historico
P0053-1,53,The pick of destiny,Liam Lynch,2006,USA,2024-06-07,2024,No,Migrada,CSV historico
P0054-1,54,Victor Frankestein,Paul McGuigan,2015,USA,2024-06-08,2024,No,Migrada,CSV historico
P0055-1,55,Up,Pete Docter,2009,USA,2024-06-09,2024,No,Migrada,CSV historico
P0056-1,56,Godzilla minus one,Takashi Yamazaki,2023,Japon,2024-06-13,2024,No,Migrada,CSV historico
P0057-1,57,School of Rock,Richard Linklater,2004,USA,2024-06-14,2024,No,Migrada,CSV historico
P0058-2,58,Four brothers,John Singleton,2005,USA,2024-06-16,2024,Si,Migrada,CSV historico
P0059-2,59,The Menu,Mark Mylod,2022,USA,2024-06-18,2024,Si,Migrada,CSV historico
P0060-1,60,The emperors new groove,Mark Dindal,2000,USA,2024-06-19,2024,No,Migrada,CSV historico
P0061-1,61,Air force one,Wolfgang Petersen,1997,USA,2024-06-20,2024,No,Migrada,CSV historico
P0062-1,62,Tropic thunder,Ben Stiller,2008,USA,2024-06-21,2024,No,Migrada,CSV historico
P0063-1,63,Cruella,Craig Gillespie,2021,USA,2024-06-22,2024,No,Migrada,CSV historico
P0064-1,64,Sid and Nancy,Alex Cox,1986,USA,2024-06-23,2024,No,Migrada,CSV historico
P0065-1,65,Inside Out,Pete Docter,2015,USA,2024-06-23,2024,No,Migrada,CSV historico
P0066-1,66,La ira de Dios,Sebastián Schindel,2022,Argentina,2024-06-23,2024,No,Migrada,CSV historico
P0067-1,67,Kapanga Todoterreno,"Paulo Soria, Pablo Parés",2009,Argentina,2024-06-24,2024,No,Migrada,CSV historico
P0068-1,68,Road house,Doug Liman,2024,USA,2024-06-26,2024,No,Migrada,CSV historico
P0069-1,69,"Federer, twelve final days","Asif Kapadia, Joe Sabia",2024,UK,2024-06-27,2024,No,Migrada,CSV historico
P0070-1,70,Beekeeper,David Ayer,2024,USA,2024-06-27,2024,No,Migrada,CSV historico
P0071-1,71,American psycho,Mary Harron,2000,USA,2024-06-28,2024,No,Migrada,CSV historico
P0072-1,72,The birdcage,Mike Nichols,1996,USA,2024-06-30,2024,No,Migrada,CSV historico
P0073-2,73,Cuando acecha la maldad,Demián Rugna,2023,Argentina,2024-06-30,2024,Si,Migrada,CSV historico
P0074-1,74,Velocipastor,Brendan Steere,2018,USA,2024-07-02,2024,No,Migrada,CSV historico
P0075-1,75,21 jump street,"Phil Lord, Christopher Miller",2012,USA,2024-07-03,2024,Si,Migrada,CSV historico
P0076-2,76,22 jump street,"Phil Lord, Christopher Miller",2014,USA,2024-07-05,2024,Si,Migrada,CSV historico
P0077-1,77,Who framed Roger Rabbit,Robert Zemeckis,1988,USA,2024-07-06,2024,No,Migrada,CSV historico
P0078-1,78,Booksmarts,Olivia Wilde,2019,USA,2024-07-10,2024,No,Migrada,CSV historico
P0079-1,79,El crazy Che,"Pablo Chehebar, Nicolás Iacouzzi",2015,Argentina,2024-07-10,2024,No,Migrada,CSV historico
P0080-2,80,Aterrados,Demián Rugna,2018,Argentina,2024-07-11,2024,Si,Migrada,CSV historico
P0081-3,81,Reservoir dogs,Quentin Tarantino,1992,USA,2024-07-12,2024,Si,Migrada,CSV historico
P0082-1,82,Sausage party,"Conrad Vernon, Greg Tiernan",2016,USA,2024-07-13,2024,No,Migrada,CSV historico
P0083-1,83,Wreck it Ralph,Rich Moore,2012,USA,2024-07-16,2024,No,Migrada,CSV historico
P0084-1,84,The zone of interest,Jonathan Glazer,2023,USA/UK/Poland,2024-07-21,2024,No,Migrada,CSV historico
P0085-1,85,Faster pussycat! Kill! Kill!,Russ Meyer,1965,USA,2024-07-22,2024,No,Migrada,CSV historico
P0086-1,86,Shoot em up,Michael Davis,2007,USA,2024-07-25,2024,No,Migrada,CSV historico
P0087-1,87,Blow out,Brian De Palma,1981,USA,2024-07-27,2024,No,Migrada,CSV historico
P0088-1,88,Deadpool,Tim Miller,2016,USA,2024-07-28,2024,No,Migrada,CSV historico
P0089-1,89,Deadpool 2,David Leitch,2018,USA,2024-07-29,2024,No,Migrada,CSV historico
P0090-1,90,Tarzán,"Chris Buck, Kevin Lima",1999,USA,2024-07-28,2024,No,Migrada,CSV historico
P0091-1,91,La sociedad de la nieve (doc),Gonzalo Arijón,2008,Uruguay,2024-08-04,2024,No,Migrada,CSV historico
P0092-1,92,Maxxine,Ti West,2024,USA,2024-08-05,2024,No,Migrada,CSV historico
P0093-1,93,The Exam,Stuart Hazeldine,2009,UK,2024-08-06,2024,No,Migrada,CSV historico
P0094-1,94,American fiction,Cord Jefferson,2023,USA,2024-08-07,2024,No,Migrada,CSV historico
P0095-2,95,Shrek,"Andrew Adamson,Vicky Jenson",2001,USA,2024-08-12,2024,Si,Migrada,CSV historico
P0096-1,96,Deadpool and Wolverine,Shawn Levy,2024,USA,2024-08-13,2024,No,Migrada,CSV historico
P0097-2,97,Death at The funeral,Frank Oz,2007,UK/USA,2024-08-18,2024,Si,Migrada,CSV historico
P0098-1,98,Easy Rider,Dennis Hopper,1969,USA,2024-08-19,2024,No,Migrada,CSV historico
P0099-1,99,Inside out 2,Kelsey Mann,2024,USA,2024-08-22,2024,No,Migrada,CSV historico
P0100-1,100,Kind of kindness,Yorgos Lanthimos,2024,USA/Ireland/UK,2024-08-27,2024,No,Migrada,CSV historico
P0101-1,101,The fighter,David O. Russell,2010,USA,2024-08-29,2024,No,Migrada,CSV historico
P0102-1,102,Ratatouille,Brad Bird,2007,USA/ France,2024-08-30,2024,No,Migrada,CSV historico
P0103-1,103,Edward Scissorhands,Tim Burton,1990,USA,2024-08-31,2024,No,Migrada,CSV historico
P0104-1,104,Bonnie and Clyde,Arthur Penn,1967,USA,2024-09-03,2024,No,Migrada,CSV historico
P0105-1,105,Hit man,Richard Linklater,2023,USA,2024-09-22,2024,No,Migrada,CSV historico
P0106-2,106,Finders keepers,Bryan Carberry and Clay Tweel.,2015,USA,2024-09-24,2024,Si,Migrada,CSV historico
P0107-1,107,Love and Death,Woody Allen,1975,USA,2024-09-30,2024,No,Migrada,CSV historico
P0108-1,108,El Jockey,Luis Ortega,2024,Argentina,2024-10-01,2024,No,Migrada,CSV historico
P0109-2,109,American Graffiti,George Lucas,1973,USA,2024-10-03,2024,Si,Migrada,CSV historico
P0110-2,110,House of 1000 corpses,Rob Zombie,2003,USA,2024-10-08,2024,Si,Migrada,CSV historico
P0111-1,111,Cruising,William Friedkin,1980,USA,2025-10-18,2024,No,Migrada,CSV historico
P0112-1,112,Longlegs,Osgood Perkins,2024,USA,2025-10-19,2024,No,Migrada,CSV historico
P0113-1,113,The boys from Brasil,Franklin J. Schaffner,1978,UK/USA,2025-10-25,2024,No,Migrada,CSV historico
P0114-1,114,Radio Olmos,Gustavo Mosquera R.,2019,Argentina,2025-10-30,2024,Si,Migrada,CSV historico
P0115-1,115,The substance,Coralie Fargeat,2024,USA/Francia/UK,2025-11-03,2024,No,Migrada,CSV historico
P0116-1,116,The room next door,Pedro Almodóvar,2024,España,2025-11-06,2024,No,Migrada,CSV historico
P0117-1,117,Las guachas,RicardoPérez Roulet,1993,Argentina,2025-11-30,2024,No,Migrada,CSV historico
P0118-3,118,The Godfather,Francis Ford Coppola,1972,USA,2025-12-08,2024,Si,Migrada,CSV historico
P0119-1,119,Hidden figures,Theodore Melfi,2017,USA,2025-12-13,2024,No,Migrada,CSV historico
P0120-2,120,Django Unchained,Quentin Tarantino,2012,USA,2025-12-14,2024,Si,Migrada,CSV historico
P0121-1,121,The other woman,Nick Cassavetes,2014,USA,2025-12-15,2024,No,Migrada,CSV historico
P0122-1,122,Ferrari,Michael Mann,2023,USA,2025-12-17,2024,No,Migrada,CSV historico
P0123-1,123,Muchachos,Jesús Braceras,2023,Argentina,2025-12-19,2024,No,Migrada,CSV historico
P0124-1,124,The nightmare before Christmas,Henry Selick,1993,USA,2025-12-24,2024,No,Migrada,CSV historico
P0125-1,125,Soul,Pete Docter,2020,USA,2025-12-24,2024,No,Migrada,CSV historico
P0126-1,126,Spy,Paul Feig,2015,USA,2025-12-25,2024,No,Migrada,CSV historico
P0001-1,1,Madame claude,Sylvie Verheyde,2021,Francia,2026-01-12,2025,No,Migrada,CSV historico
P0002-1,2,Water for elephants,Francis Lawrence,2011,USA,2026-01-15,2025,No,Migrada,CSV historico
P0003-1,3,The book thief,Brian Percival,2013,USA/Alemania,2026-01-16,2025,No,Migrada,CSV historico
P0004-1,4,The switch,Will Speck y Josh Gordon,2010,USA,2026-01-17,2025,No,Migrada,CSV historico
P0005-1,5,"Good luck to you, Leo Grande",Sophie Hyde,2022,UK,2026-01-18,2025,No,Migrada,CSV historico
P0006-1,6,Puan,"María Alché ,Benjamín Naishtat",2023,Argentina,2026-01-19,2025,No,Migrada,CSV historico
P0007-3,7,Palm Springs,Max Barbakow,2020,USA,2026-01-19,2025,Si,Migrada,CSV historico
P0008-1,8,Los domingos mueren más personas,Iair Said,2023,Argentina,2026-01-30,2025,No,Migrada,CSV historico
P0009-1,9,"Kiki, el amor se hace",Paco León,2016,España,2026-01-31,2025,No,Migrada,CSV historico
P0010-1,10,The Help,Tate Taylor,2011,USA,2026-02-01,2025,No,Migrada,CSV historico
P0011-1,11,Juror N 2,Clint Eastwood,2024,USA,2026-02-03,2025,No,Migrada,CSV historico
P0012-1,12,The equalizer 3,Antoine Fuqua,2023,USA,2026-02-03,2025,No,Migrada,CSV historico
P0013-1,13,Elijo creer,Gonzalo Arias y Martín Méndez,2023,Argentina,2026-02-04,2025,No,Migrada,CSV historico
P0014-2,14,Radio olmos,Gustavo Mosquer,2019,Argentina,2026-02-07,2025,Si,Migrada,CSV historico
P0015-1,15,This is The Tom Green documentary,Tom Green,2025,Canada,2026-02-10,2025,No,Migrada,CSV historico
P0016-1,16,Alls hallows eve,Damien Leone,2013,USA,2026-02-14,2025,No,Migrada,CSV historico
P0017-1,17,Eastern promises,David Cronenberg,2007,Canada/UK,2026-02-20,2025,No,Migrada,CSV historico
P0018-1,18,The trap,M. Night Shyamalan,2024,USA,2026-02-25,2025,No,Migrada,CSV historico
P0019-1,19,Bowling for columbine,Michael Moore,2002,USA,2026-03-11,2025,No,Migrada,CSV historico
P0020-1,20,Mickey 17,Bong Joon-ho,2025,USA/Korea del sur,2026-03-14,2025,No,Migrada,CSV historico
P0021-1,21,El hombre que amaba los platos voladores,Diego Lerman,2024,Argentina,2026-03-16,2025,No,Migrada,CSV historico
P0022-1,22,Anchorman: The legend of Ron Burgundy,Adam McKay,2004,USA,2026-03-17,2025,No,Migrada,CSV historico
P0023-2,23,Shrek 2,"Andrew Adamson,Kelly Asbury,Conrad Vernon",2004,USA,2026-03-22,2025,Si,Migrada,CSV historico
P0024-1,24,The Subtle Art of Not Giving a F*ck,Nathan Price,2023,USA,2026-03-23,2025,No,Migrada,CSV historico
P0025-1,25,Músic by John Williams,Laurent Bouzereau,2024,USA,2026-03-29,2025,No,Migrada,CSV historico
P0026-1,26,Civil war,Alex Garland,2024,USA/UK,2026-03-30,2025,No,Migrada,CSV historico
P0027-1,27,Snatch,Guy Ritchie,2000,UK,2026-03-30,2025,No,Migrada,CSV historico
P0028-1,28,Thelma,Josh Margolin,2024,USA,2026-04-25,2025,No,Migrada,CSV historico
P0029-1,29,Life of the party,Ben Falcone,2018,USA,2026-05-02,2025,No,Migrada,CSV historico
P0030-1,30,Nonnas,Stephen Chbosky,2025,USA,2026-05-11,2025,No,Migrada,CSV historico
P0031-1,31,Am i ok?,"Tig Notaro, Stephanie Allynne",2024,USA,2026-05-17,2025,No,Migrada,CSV historico
P0032-1,32,Una muerte silenciosa,Sebastián Schindel,2025,Argentina,2026-05-25,2025,No,Migrada,CSV historico
P0033-2,33,Lion,Garth Davis,2016,USA/UK/Australia,2026-05-25,2025,Si,Migrada,CSV historico
P0034-1,34,Historias para no contar,Cesc Gay,2022,España,2026-05-25,2025,No,Migrada,CSV historico
P0035-1,35,The assessment,Flor afortunada,2022,USA/UK/Alemania,2026-05-25,2025,No,Migrada,CSV historico
P0036-1,36,Final destination,James Wong,2000,USA/Canada,2026-05-31,2025,No,Migrada,CSV historico
P0037-1,37,Emilia Pérez,Jacques Audiard,2024,Francia,2026-06-01,2025,No,Migrada,CSV historico
P0038-1,38,Oceans 8,Gary Ross,2018,USA,2026-06-01,2025,No,Migrada,CSV historico
P0039-2,39,Final destination 2,David R. Ellis,2003,USA,2026-06-01,2025,Si,Migrada,CSV historico
P0040-1,40,Malvineitor,Pablo Marini,2017,Argentina,2026-06-01,2025,Si,Migrada,CSV historico
P0041-1,41,Final destination 3,James Wong,2006,USA,2026-06-02,2025,No,Migrada,CSV historico
P0042-1,42,Final destination 4,David R. Ellis,2009,USA,2026-06-06,2025,No,Migrada,CSV historico
P0043-1,43,Capote,Bennett Miller,2005,USA/Canada,2026-06-07,2025,No,Migrada,CSV historico
P0044-1,44,Better man,Michael Gracey,2024,UK,2026-06-07,2025,No,Migrada,CSV historico
P0045-1,45,Final destination 5,Steven Quale,2011,USA,2026-06-07,2025,No,Migrada,CSV historico
P0046-1,46,The Alto Knights,Barry Levinson,2025,USA,2026-06-08,2025,No,Migrada,CSV historico
P0047-1,47,Plata dulce,Fernando Ayala,1982,Argentina,2026-06-08,2025,No,Migrada,CSV historico
P0048-1,48,Carrie,Brian De Palma,1983,USA,2026-06-08,2025,Si,Migrada,CSV historico
P0049-1,49,Marley and me,David Frankel,2009,USA,2026-06-08,2025,No,Migrada,CSV historico
P0050-1,50,Final destination bloodlines,"Zach Lipovsky, Adam B. Stein",2025,USA,2026-06-14,2025,No,Migrada,CSV historico
P0051-1,51,Priscilla,Sofia Coppola,2023,USA,2026-06-14,2025,No,Migrada,CSV historico
P0052-1,52,Copland,James Mangold,1997,USA,2026-06-15,2025,No,Migrada,CSV historico
P0053-1,53,Policía corrupto,Carlos Galettini,1996,Argentina,2026-06-19,2025,No,Migrada,CSV historico
P0054-1,54,MIB,Barry Sonnenfeld,1997,USA,2026-06-22,2025,No,Migrada,CSV historico
P0055-1,55,The baby,Ted Post,1973,USA,2026-06-28,2025,No,Migrada,CSV historico
P0056-1,56,Abigail,"Matt Bettinelli-Olpin,Tyler Gillett",2024,USA,2026-06-29,2025,No,Migrada,CSV historico
P0057-1,57,MIB 2,Barry Sonnenfeld,2002,USA,2026-06-29,2025,No,Migrada,CSV historico
P0058-1,58,1978.0,"Luciano Onetti, Nicolás Onetti",2024,Argentina,2026-07-01,2025,No,Migrada,CSV historico
P0059-1,59,Heads of state,Ilya Naishuller,2025,USA,2026-07-03,2025,No,Migrada,CSV historico
P0060-2,60,Poor things,Yorgos Lanthimos,2023,USA/UK/Irlanda,2026-07-04,2025,Si,Migrada,CSV historico
P0061-1,61,Silvia Prieto,Martín Rejtman,1999,Argentina,2026-07-08,2025,No,Migrada,CSV historico
P0062-1,62,Get him to they greek,Nicholas Stoller,2010,USA,2026-07-09,2025,No,Migrada,CSV historico
P0063-3,63,Zoolander,Ben Stiller,2002,USA,2026-07-17,2025,Si,Migrada,CSV historico
P0064-1,64,Austin Powers,Jay Roach,1997,USA,2026-07-19,2025,No,Migrada,CSV historico
P0065-1,65,MIB 3,Barry Sonnenfeld,2012,USA,2026-07-20,2025,No,Migrada,CSV historico
P0066-1,66,Cónclave,Edward Berger,2024,USA/UK,2026-07-20,2025,No,Migrada,CSV historico
P0067-1,67,Brick,Philip Koch,2025,USA,2026-07-26,2025,No,Migrada,CSV historico
P0068-1,68,Joy,Ben Taylor,2024,USA/UK,2026-07-27,2025,No,Migrada,CSV historico
P0069-1,69,Split,M. Night Shyamalan,2016,USA,2026-07-27,2025,No,Migrada,CSV historico
P0070-1,70,What men want,Adam Shankman,2019,USA,2026-07-27,2025,No,Migrada,CSV historico
P0071-1,71,Little Nicky,Steven Brill,2000,USA,2026-08-02,2025,No,Migrada,CSV historico
P0072-1,72,The sitter,David Gordon Green,2011,USA,2026-08-03,2025,No,Migrada,CSV historico
P0073-1,73,Ace Ventura,Tom Shadyac,1994,USA,2026-08-03,2025,No,Migrada,CSV historico
P0074-2,74,Licorice Pizza,Paul Thomas Anderson,2021,USA,2026-08-03,2025,Si,Migrada,CSV historico
P0075-1,75,Anora,Sean Baker,2024,USA,2026-08-04,2025,No,Migrada,CSV historico
P0076-1,76,Searching for sugar man,Malik Bendjelloul,2012,UK/Suecia,2026-08-05,2025,No,Migrada,CSV historico
P0077-2,77,28 days later,Danny Boyle,2002,UK,2026-08-07,2025,Si,Migrada,CSV historico
P0078-1,78,Blind Fury,Phillip Noyce,1989,USA,2026-08-08,2025,No,Migrada,CSV historico
P0079-1,79,Sinners,Ryan Coogler,2025,USA,2026-08-08,2025,No,Migrada,CSV historico
P0080-1,80,28 week later,Juan Carlos Fresnadillo,2006,UK,2026-08-09,2025,No,Migrada,CSV historico
P0081-1,81,28 years later,Danny Boyle,2025,UK,2026-08-09,2025,No,Migrada,CSV historico
P0082-2,82,Cocaine bear,Elizabeth Banks,2023,USA,2026-08-14,2025,Si,Migrada,CSV historico
P0083-1,83,Dog days afternoon,Sidney Lumet,1975,USA,2026-08-15,2025,No,Migrada,CSV historico
P0084-1,84,Dogman,Luc Besson,2023,Francia,2026-08-16,2025,No,Migrada,CSV historico
P0085-1,85,Nosferatu,Robert Eggers,2024,USA/Rep Checa,2026-08-22,2025,No,Migrada,CSV historico
P0086-1,86,My Best friend wedding,P. J. Hogan,1997,USA,2026-08-23,2025,No,Migrada,CSV historico
P0087-2,87,Malvineitor,Pablo Marini,2017,Argentina,2026-08-23,2025,Si,Migrada,CSV historico
P0088-1,88,Miss congeniality,Donald Petrie,2000,USA,2026-08-24,2025,No,Migrada,CSV historico
P0089-3,89,Nobody,Ilya Naishuller,2021,USA,2026-08-25,2025,Si,Migrada,CSV historico
