id,numero,titulo,director,anio_estreno,pais_origen,fecha_vista,anio_visto,es_revisionado,estado_enriquecimiento,fuente,genero,animo,sinopsis,poster_url,rating_externo,notas_ia
P0001-1,1,Desearas al hombre de tu hermana,Diego Kaplan,2017,Argentina,2019-01-07,2018,No,Migrada,CSV historico,,,,,,
P0002-1,2,Good Time,Safdie Brothers,2017,USA,2019-01-07,2018,No,Migrada,CSV historico,,,,,,
P0003-1,3,American Movie,Chris Smith,1999,USA,2019-01-08,2018,No,Migrada,CSV historico,,,,,,
P0004-1,4,Baby Driver,Edgar Wrigth,2017,UK/USA,2019-01-11,2018,No,Migrada,CSV historico,,,,,,
P0005-1,5,Candyman,Bernard Rose,1992,USA,2019-01-12,2018,No,Migrada,CSV historico,,,,,,
P0006-1,6,Apenas un delincuente,Hugo Fregonese,1949,Argentina,2019-01-13,2018,No,Migrada,CSV historico,,,,,,
P0007-1,7,Ingrid Goes west,Matt spicer,2017,USA,2019-01-13,2018,No,Migrada,CSV historico,,,,,,
P0008-1,8,Amelie,Jean Pierre Jeunet,2001,Francia/Alemania,2019-01-14,2018,No,Migrada,CSV historico,,,,,,
P0009-1,9,Voyeur,Myles Kane-Josh Koury,2017,USA,2019-01-14,2018,No,Migrada,CSV historico,,,,,,
P0010-1,10,"René Lavand, el gran simulador",Nestor Frenkel,2013,Argentina,2019-01-18,2018,No,Migrada,CSV historico,,,,,,
P0011-1,11,Cooties,Jonathan Milott-Cary Murnion,2014,USA,2019-01-18,2018,No,Migrada,CSV historico,,,,,,
P0012-1,12,Finders Keepers,Alexander Yellen,2014,USA,2019-01-20,2018,Si,Migrada,CSV historico,,,,,,
P0013-1,13,Rosemarys Baby,Roman Polanski,1968,USA,2019-01-21,2018,No,Migrada,CSV historico,,,,,,
P0014-1,14,The Town,Ben Affleck,2010,USA,2019-01-26,2018,No,Migrada,CSV historico,,,,,,
P0015-1,15,El estudiante,Santiago Mitre,2011,Argentina,2019-01-27,2018,No,Migrada,CSV historico,,,,,,
P0016-1,16,Masterminds,Jared Hess,2016,USA,2019-01-27,2018,No,Migrada,CSV historico,,,,,,
P0017-1,17,Sin Hijos,Ariel Winograd,2015,Argentina,2019-01-29,2018,No,Migrada,CSV historico,,,,,,
P0018-1,18,Quien puede matar a un niño?,Narciso Ibañez Serrador,1976,España,2019-01-31,2018,No,Migrada,CSV historico,,,,,,
P0019-1,19,Shot! The Psycshospiritual mantra del Rock,Barney Clay,2016,USA,2019-02-02,2018,No,Migrada,CSV historico,,,,,,
P0020-1,20,Whiplash,Damien Chazelle,2014,USA,2019-02-03,2018,No,Migrada,CSV historico,,,,,,
P0021-1,21,Memento,Christopher Nolan,2000,USA,2019-02-04,2018,No,Migrada,CSV historico,,,,,,
P0022-1,22,Trainspotting,Danny Boile,1996,UK,2019-02-04,2018,No,Migrada,CSV historico,,,,,,
P0023-1,23,Cloverfield monstruo,Matt Reeves,2008,USA,2019-02-12,2018,No,Migrada,CSV historico,,,,,,
P0024-1,24,Olympus has fallen,Antoine Fuqua,2013,USA,2019-02-12,2018,No,Migrada,CSV historico,,,,,,
P0025-1,25,The Invitation,Karyn Kusama,2015,USA,2019-02-13,2018,No,Migrada,CSV historico,,,,,,
P0026-1,26,Circle,Aaron Hann,2015,USA,2019-02-18,2018,Si,Migrada,CSV historico,,,,,,
P0027-1,27,La Cordilllera,Santiago Mitre,2017,Argentina,2019-02-19,2018,No,Migrada,CSV historico,,,,,,
P0028-1,28,The Game,David Fincher,1997,USA,2019-02-24,2018,No,Migrada,CSV historico,,,,,,
