numero,fecha_vista,titulo,director,anio_estreno,pais_origen,visto_antes,revision_2026,confianza,nota
1,2026-01-04,Bring Her Back,"Danny Philippou, Michael Philippou",2025,Australia,No,Sí (1/2),A,
2,2026-01-05,Find Me Guilty,Sidney Lumet,2006,USA,No,No,A,
3,2026-01-06,The Cabin in the Woods,Drew Goddard,2012,USA,Sí (2020),No,A,
4,2026-01-07,Incendies,Denis Villeneuve,2010,Canadá,No,No,A,"fecha original decía 07/10, asumo 07/01"
5,2026-01-08,The Life of Chuck,Mike Flanagan,2024,USA,No,No,A,
6,2026-01-10,Clown in a Cornfield,Eli Craig,2025,USA,No,No,A,
7,2026-01-16,Leap Year,Anand Tucker,2010,USA / Irlanda,No,No,A,
8,2026-01-18,The Ladykillers,"Joel Coen, Ethan Coen",2004,USA,No,No,A,
9,2026-01-21,La virgen de la tosquera,Laura Casabé,2025,Argentina,No,No,A,
10,2026-01-24,Ballerina (From the World of John Wick),Len Wiseman,2025,USA,No,No,A,
11,2026-01-24,Acto de violencia en una joven periodista,Manuel Lamas,1988,Uruguay,No,No,A,
12,2026-01-25,Sisu: Road to Revenge,Jalmari Helander,2025,Finlandia,No,No,A,'Sisu 2'
13,2026-01-25,Soft & Quiet,Beth de Araújo,2022,USA,No,No,A,
14,2026-01-26,Las barras bravas,Enrique Carreras,1985,Argentina,No,No,A,
15,2026-01-27,Los payasos,"Lucas Bucci, Tomás Sposato",2019,Argentina,No,No,A,comedia documental
16,2026-01-27,El secreto de Marrowbone,Sergio G. Sánchez,2017,España,No,No,A,
17,2026-01-28,Possession,Andrzej Żuławski,1981,Francia / Alemania Occidental,No,No,A,
18,2026-01-29,Bugonia,Yorgos Lanthimos,2025,USA / Reino Unido,No,No,A,
19,2026-01-31,Tusk,Kevin Smith,2014,USA,No,No,A,
20,2026-02-02,El coso,Néstor Frenkel,2022,Argentina,No,No,A,doc sobre Federico Peralta Ramos
21,2026-02-03,"To Wong Foo, Thanks for Everything! Julie Newmar",Beeban Kidron,1995,USA,No,No,A,
22,2026-02-04,Lamb,Valdimar Jóhannsson,2021,Islandia,No,No,A,
23,2026-02-05,Tiempo de pagar,Felipe Wein,2024,Argentina,No,No,A,thriller
24,2026-02-06,Crimewave,Sam Raimi,1985,USA,No,No,A,
25,2026-02-07,Black Sheep,Jonathan King,2006,Nueva Zelanda,No,No,A,
26,2026-02-08,"Me, Myself & Irene","Bobby Farrelly, Peter Farrelly",2000,USA,No,No,A,"registrado como 'Irene, me and myself'"
27,2026-02-09,Becoming Led Zeppelin,Bernard MacMahon,2025,Reino Unido / USA,No,No,A,
28,2026-02-10,Raising Arizona,"Joel Coen, Ethan Coen",1987,USA,No,No,A,
29,2026-02-12,The Amateur,James Hawes,2025,USA / Reino Unido,No,No,A,
30,2026-02-17,Boys Don't Cry,Kimberly Peirce,1999,USA,No,No,A,
31,2026-02-18,"Un peso, un dólar",Gabriel Condron,2007,Argentina,No,No,A,
32,2026-02-19,Pieces (Mil gritos tiene la noche),Juan Piquer Simón,1982,España,No,No,A,
33,2026-02-21,Evil Dead II,Sam Raimi,1987,USA,No,No,A,
34,2026-02-22,Ford v Ferrari,James Mangold,2019,USA,No,No,A,
35,2026-02-23,O Agente Secreto,Kleber Mendonça Filho,2025,Brasil,No,No,A,
36,2026-02-24,La vida útil,Federico Veiroj,2010,Uruguay,No,No,A,
37,2026-02-25,The Smashing Machine,Benny Safdie,2025,USA,No,No,A,
38,2026-02-26,Todo el año es Navidad,Néstor Frenkel,2018,Argentina,Sí (2021),No,A,documental
39,2026-02-27,Gattaca,Andrew Niccol,1997,USA,No,No,A,
40,2026-02-28,Nighthawks,Bruce Malmuth,1981,USA,No,No,A,
41,2026-02-28,The Thing,John Carpenter,1982,USA,Sí (2019),No,A,
42,2026-03-01,Sex Tape,Jake Kasdan,2014,USA,No,No,A,
43,2026-03-01,Office Space,Mike Judge,1999,USA,No,No,A,
44,2026-03-03,Kill Bill: The Whole Bloody Affair,Quentin Tarantino,2011,USA,No,No,A,
45,2026-03-05,The NeverEnding Story,Wolfgang Petersen,1984,Alemania Occidental / USA,No,No,A,
46,2026-03-06,Chicos ricos,Mariano Galperín,2000,Argentina,No,No,A,
47,2026-03-07,Good Fortune,Aziz Ansari,2025,USA,No,No,A,
48,2026-03-07,Battle of the Sexes,"Jonathan Dayton, Valerie Faris",2017,USA / Reino Unido,No,No,A,
49,2026-03-07,Ghostbusters,Ivan Reitman,1984,USA,No,No,A,
50,2026-03-08,Redux Redux,"Kevin McManus, Matthew McManus",2025,USA,No,No,A,
51,2026-03-10,Marty Supreme,Josh Safdie,2025,USA,No,No,A,
